,Text,Pass,Expected,Anna,Amrutha,Amrutha_enc,Anna_enc,positive_sentiment,negative_sentiment,text_length
88,"She embarrass him in front of others. Last weekend was really what made me decide to write this. Jay, Marie, me and the husband were at another couples house. We were drinking and playing board games but Jay had to work the next day so he stopped early. Marie starts taking this personally for some reason and then says to all of us that he’s “always ruining her nights out”.",pass2,,Relationships,Perceptual Stress,9,10,17.12,82.88,70
89,"I have almost constant health anxiety. It's a mixture of agoraphobia and health anxiety. I'm afraid of having some incurable disease or suddenly stopping breathing... I've been kinda iffy the past few days, just tired from lack of sleep, and I usually feel like shit after my period which triggers my anxiety. Well anyway I went out to meet my mom for some food and the first thing she says to me is ""wow are you okay?""",pass2,,Cognitive Stress,Cognitive Stress,8,8,36.43,63.57,77
90,"Hi everyone,  Sorry to ask but today is my Mum’s birthday. This is the first month in ~6 where I haven’t been paid early, so until tomorrow I have no money. The issue is it’s my mum’s birth today, and she always wants a cake, but I am unable to give her one this year. A nice cake from my local supermarket is £10, and I will be paid by work tomorrow so I can repay you soon.",pass2,,Finance,Finance,17,17,48.51,51.49,79
91,"So I have a buddy who still lives with his step dad, mom, and brother. Long story short, I just found out through him that his step dad hits him and occasionally his mother. It came out when he was drunk along with other behaviors. When my friend gets drunk he likes to aggravate people until they try to beat him up and until recently I just thought he liked fighting. But he told me it is because his step dad hits him so getting in fights gives him a weird sense of worth.",pass2,,Cognitive Stress,Cognitive Stress,8,8,38.14,61.86,94
92,"Also, if you know of cheaper/better items I could add, please let me know. It was like a minefield trying to find non-prime pantry items. **I would also happily accept a gift card for a grocery store/restaurant or something, another way to assist where you know for sure it's going towards food. ** *Full disclosure, I have not been active on this account in 3 months purely because I have been using <username> primarily for at least 8 months.",pass2,,Finance,Finance,17,17,87.89,12.11,79
93,"I know there are are people who have absolutely nothing. I have clothes on my back and a roof over my head, but I’m still worried because I don’t have gas money to get to work or buy groceries. It’s just a very helpless feeling. Thanks again to anyone who is reading this. I appreciate you.",pass2,,Finance,Finance,17,17,59.51,40.49,56
94,"Kinda. But now it’s just weird. He buys us matching clothes, tries to get us to do the same shit, constantly insists that we’re so similar, etc. They try to hold my hands when we go out, and when I told my dad I needed her to stop being so touchy with me, he guilt tripped the fuck out of me. I’m 19 in a few days, I need to get out of here, but I feel so fucking guilty.",pass2,,Relationships,Cognitive Stress,8,10,0,100,80
95,"I refuse to carry both of us anymore and I'm also tired of the drama between us as well. So, part of me hopes he doesn't pay the rent and that'll give me my push to really move on. Anyway, I'm ok with going to a shelter, but I worry about my laptop. I remember when I was living in a shelter when I was a kid, they didn't allow you to have certain items. I don't want to part with my laptop for them to keep it safe and it gets ""lost"".",pass2,,Finance,Emotional Stress,7,17,54.32,45.68,93
96,I've been crying myself to sleep ever since I came back. I'm scared something terrible will happen to them and I can't stop feeling guilty about cutting contact with them for the past several months. My mind keeps replaying awful scenarios over and over again. I can't stop thinking about these terrible thoughts. :(,pass2,,Cognitive Stress,Cognitive Stress,8,8,22.52,77.48,54
97,"His mom and aunt like me too. But there have been some dark portions of our relationships, which I am ashed to talk about. First of all, the lightest part - when he is nervous because of something, he lashes out on me in shape of harsh criticism. Or he yells. 'You always stare at your phone!!!'",pass2,,Relationships,Relationships,10,10,13.37,86.63,57
98,"She's been doing exams as of late and we've both had some personal problems so we haven't had time to work on our relationship. We both said we would stay together but sort it all out after she came back from a holiday she was going on with her uni. On the second last night she tells me she has kissed another guy and feels horrific about it. I tell her i'm going to leave because she has cheated in hope she realizes what life is like without me (stupid I know). I've always put her needs before mine, i've tried to give her everything and be the perfect boyfriend and because my natural defense mechanism is to retreat into my shell and shut the world out I don't reply to her texts that day.",pass2,,Relationships,Relationships,10,10,65.74,34.26,135
99,"I am still working, as I am the sole bread winner in the family ‚Äì my husband is unemployed. We have another child who is a toddler, and things are hard financially. And sometimes, I get very angry and upset so smoking helps me calm down. I sometimes feel it is all I have left.",pass2,,Finance,Cognitive Stress,8,17,53.38,46.62,55
100,I go to the emergency room because the doctor refuses to give me more Dilaudid. She prescribes it only twice a day and it‚I's not helping me. She is telling me to drink 6-8 glasses of water every day as if that‚I'll take away the pain in my back and lower legs. He doesn‚I't know what people with Sickle go through. I need relief.,pass2,,Illness,Illness,2,2,23.68,76.32,64
101,"My child cannot participate in the program because I work two jobs, my other kids are struggling in school. We are just too busy.",pass2,,Cognitive Stress,Relationships,10,8,0,100,24
102,"I never thought I would get cancer. My family gets heart attacks, diabetes, emphysema‚Ä¶but not cancer. I can‚I't believe this is happening to me. It‚I's a nightmare.",pass2,,Illness,Trauma,0,2,0,100,27
103,"We tried to reduce the amount of TV she watches but it didn‚I't go so well. In the morning I need to get dressed, take a shower, make some breakfast and I usually end up letting her watch the Wiggles or Dexter‚I's Laboratory just to give me some free time. In the afternoon I feel it might be easier‚Ä¶since maybe I could get her involved in an art project or playing outside.",pass2,,Cognitive Stress,Cognitive Stress,8,8,100,0,72
104,"These meds aren‚I't helping me. I don‚I't feel any different. I thought these were supposed to help me feel better. I try to remember to take them everyday, but I don‚I't feel them working. What‚I's the point in swallowing those pills if they don‚I't work?",pass2,,Illness,Emotional Stress,7,2,100,0,45
105,I am under a lot of stress. The chew helps me get through the day. I am raising three kids and now have another on the way. How am I going to pay for all of this. My husband lost his job last year.,pass2,,Cognitive Stress,Emotional Stress,7,8,28.71,71.29,44
106,"No matter how much people say they understand. They don‚I't, they have no goddamn idea what is like there, it was hell and they don‚I't really want to hear it, so I don‚I't tell them.",pass2,,Emotional Stress,Emotional Stress,7,7,30,70,35
107,"Sure, I would feed them better . I know all this junk food is bad. But it cost so much to buy healthy food. Have you seen the price of fresh fruits and vegetables lately. And, fish, forget about it. I can afford chicken, but they get bored with the same old thing. And frozen vegetables have all that salt and MSG in it.",pass2,,Finance,Finance,17,17,58.3,41.7,64
108,"I have a hard time checking my blood sugar, so busy with the kids and work, kept thinking about that time I checked my sugar and ended up giving myself too much insulin, don‚I't want end up like my mom.",pass2,,Illness,Illness,2,2,81.82,18.18,40
109,"Every time I bring up my daughter's weight with her, it leads to a fight. She tells me to get off her case. Then my husband tells me to back off and let her be. ‚ÄúShe‚I'll grow out of it‚Äù, he says. But I think it‚I's important to do something about it now, before it‚I's too late.",pass2,,Relationships,Relationships,10,10,54.93,45.07,57
110,"My son‚I's problem is sweets. He loves candy, cake and ice cream. He won‚I't eat any regular food and I feel so bad that he is hungry that I usually give in and let him have junk food, just so he gets something into his system.",pass2,,Relationships,Dietary Stress,5,10,49.04,50.96,46
111,"Maybe it‚I's time to quit. I am 55, my dad died of heart disease, and I am coughing up all this junk every morning.",pass2,,Illness,Illness,2,2,0,100,24
112,"The biggest challenge is having friends over and seeing them smoke. I used to smoke with my (female) friends and just gossip and catch up. And I don‚I't miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it‚I's sometimes hard to see everyone smoking.",pass2,,Cognitive Stress,Cognitive Stress,8,8,55.41,44.59,59
113,The baby has Down syndrome because I drank during the pregnancy.,pass2,,Cognitive Stress,Cognitive Stress,8,8,0,0,11
114,"I tried cutting back on salt, everything tasted nasty, you ever tried eating without salt? You can‚I't do it, so I just use that Grill Masters stuff, it‚I's not like that regular table salt that you can‚I't eat, right? My wife says to use that instead.",pass2,,Dietary Stress,Dietary Stress,5,5,0,100,46
115,"I heard it may be addictive, that worries me. But then that means I may have withdrawal symptoms when I quit. Damned if you do and damned if you don‚I't.",pass2,,Cognitive Stress,Emotional Stress,7,8,11.67,88.33,30
116,I am very busy today; can we just go over my test results? I don‚I't have a lot of time to get into my life and stuff right now,pass2,,Cognitive Stress,Cognitive Stress,8,8,0,0,29
117,"I think people are scared of me. They treat me differently since coming home, they all want to show how they are behind us, but they also look at us like freaks. I wonder how I come across to them. I guess they worry that I did horrible things or have PTSD or something.",pass2,,Emotional Stress,Emotional Stress,7,7,33.88,66.12,54
118,"I eat at McDonalds a few times a week. There‚I's nothing better than a Big Mac, fries, and a shake.",pass2,,Dietary Stress,Dietary Stress,5,5,0,100,20
119,"She works 6 days a week and usually ends her work day around 9-10pm. I work from 9-5pm. She lives across the city, 45 minutes away from me. When she works, we can hardly meet. So when we do make plans to meet, I extremely value those time.",pass3,,Relationships,Relationships,10,10,100,0,48
120,"At the same time, I’ve been going crazy because if I’m not thinking about something else I’m thinking about him and various kink related acts. This isn’t anything I’ve actually experienced before (hell, I still don’t get attraction), so I’m confused. My issue is, he’s going back overseas for uni in a couple of days, and we’ll be seeing each other (in our larger group) tomorrow. Should I bring something up? Should I just leave it?",pass3,,Relationships,Relationships,10,10,0,100,76
121,"We had plans to move in together, a fancy $1,800/month home that she would contribute $400 or so. We spoke of children, marriage, all sorts of stuff. It's not that I thought she owed me anything for me doing these things. It's just that I felt like I did so incredibly much and it kills me that I look back and know that over a 5 month period, we only had intimate contact less than 15 times, that we never made out, outside sex (and I initiated and was rejected many, many times). Every time I brought up my frustrations regarding my unmet romantic needs, she took it as gaslighting and used it as fuel to further drive the reason why she wasn't comfortable with intimate contact.",pass3,,Relationships,Relationships,10,10,29.41,70.59,127
122,"I see him in person 1 - 3 times per week, almost always at restaurants. If it matters, we've never been to each others apartment. It is in his lease that he can't have guests over (???). I've invited him to mine but it hasn't worked out. I have some abandonment issues from friends pretending they like me but actually secretly disliking me, so I have anxiety that he doesn't actually like me.",pass3,,Relationships,Relationships,10,10,57.99,42.01,73
123,"I'm curious, does anyone know of any programs that provide temporary housing assistance if you have a job? I'm almost broke right now. I really don't want to live out of my car or the shelter while working. Having a comfortable supportive place until I can get my first couple of paychecks would be amazing. I'm worried that my current living situation will ruin my chances to succeed with this job.",pass3,,Finance,Finance,17,17,62.38,37.62,71
124,"I've been homeless for a couple days since my roommate completely screwed me by not paying rent for 5 months and hid notices from me. I only had a week to move out, and get things into storage. I was able to find a roof to sleep under for a short time but it's severely roach infested and I have to sleep on the floor. There isn't anything availible at my price range, certainly not on that short of a notice. I had a few prospects but they went to other people.",pass3,,Finance,Finance,17,17,44.3,55.7,92
125,"I am a 30 year old male with a 5 lb dog recently homeless in Washington state. My dog is the last remaining thing from when life was normal,  and I refuse to get ride of her after being my companion for 6 years.   Reason for my homeless, car broke had to work fast food because it was close to home. I was assigned less hours than the high schoolers I worked with  (3-4 hour shifts)I was unable to maintain the apartment. I do not have any drug abuse problems or alcohol.",pass3,,Finance,Finance,17,17,0,100,96
126,"They can’t get into a shelter because they are employed but they still don’t make enough to afford to rent anywhere. They’ve tried rooms for rent but they can’t get into anything because it’s either, no couples, no kids, male only, female only etc. Hotel/Motel rooms are expensive. They have no family or friends that would be willing to accommodate them. What would you suggest to them?",pass3,,Finance,Finance,17,17,33.14,66.86,67
127,"I keep getting into relationships with men that are in bad situations. I take them on and help them and do all I can and the relationship still fails. How do I learn to not get in relationships with men in bad situations? I see someone in need of help, I jump in. And it is getting me nowhere. I am alone sad and frustrated.",pass3,,Relationships,Relationships,10,10,42.36,57.64,65
128,"At school, it feels like I've lost all my friends, and I've been really weird with my sleeping patterns. I used to cut myself, and I really want to again, but I change in the locker rooms because I don‚I't want anybody to see. I get ticked off easy and overreact. At night, I‚I'm very depressed and listen to sad music and all that sort of stuff. Please help me. I just want to be happy again, and I feel like I‚I'm starting to fake a smile at school.",pass3,,Emotional Stress,Emotional Stress,7,7,55.77,44.23,89
129,"I'm depressed. I have been for years. I hide it from everyone because I'm scared of the reactions I'll get. Last time I tried telling my parents, it was a huge argument about me being too young to be depressed (I‚I'm a legal adult), calling me ungrateful, and telling me that if I can't handle things now, it's only going to get worse in the future (which is turning out to be true). It's exhausting pretending to be okay, and I don't know how much longer I can try. I'm just really tired, and sadly, I can't afford the help I need on my own.",pass3,,Emotional Stress,Emotional Stress,7,7,18.69,81.31,105
130,"Last year, I just always felt hopeless. I don't have a great relationship with my sister. I lost my mother recently, and that really added to my sadness. My sister always brings up how I was never close to my mother.",pass3,,Lack of social support,Lack of social support,11,11,0,100,41
131,"My boyfriend recently got a kitty. I hate cats in general, and he knows it. It grosses me out and makes me very upset when he pets his cat. I want to throw out the cat. I feel very jealous.",pass3,,Relationships,Cognitive Stress,8,10,10.14,89.86,40
132,Now I have anger and trust issues. How can I treat this and fix myself?,pass3,,Emotional Stress,Emotional Stress,7,7,61.87,38.13,15
133,"I have been diagnosed with ADHD and experienced manic depression episodes. I have problems with anger management. Apparently, I also have an ODD, bipolar and split personality. How can I be truly happy?",pass3,,Illness,Illness,2,2,33.41,66.59,33
134,"I been having anger problems a lot lately. It only takes one word wrongly said to set me off. I use to not be like this until I got with my soon-to-be husband. I think his mood and rage/anger problems have rubbed off on me a lot. I don't get nearly as bad as he does, but I yell almost constantly and I can't seem to just stop. I have two young babies that have to hear this, and I don't want my girls growing up with a mommy like I have been lately. I just don't know how to get back to my old self.",pass3,,Emotional Stress,Emotional Stress,7,7,10.87,89.13,106
135,"I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semi-relationship should be joyous, for me, it‚I's an emotional nightmare I can‚I't get to the bottom of. I‚I've had this before and had to leave the semi-relationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship?
 
 
 
 While I‚I'm not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I don‚I't take medications and have no desire to, I have read forums, and I‚I've talked about the issue with my sister who has faced similar problems.",pass3,,Cognitive Stress,Cognitive Stress,8,8,30.68,69.32,168
136,"My fianc√©e suffers from severe anxiety and depression. She has had it most of her life. Her anxiety in public places is the worst. It gets to points where she can't breathe or move. Sometimes, she won't even go to the restroom, so she will hold in her pee until her stomach hurts or she pees herself. She curls up in corners at the mall and has panic attacks. She won't eat or drink in public. If she isn't having a panic attack or crying, she's clinging to me and avoiding everything and everyone. Her depression flares up out of nowhere and causes her to become very suicidal and self-harming. She get really sick from anxiety and scared to the point that I can't even get her to eat, drink, leave the bed, or go outside. She always tells me how she grew up around so much fighting and fear that it makes her scared of loud sounds, yelling, conflict, and even talking to strangers in public. She will refuse to go to a store unless I am with her to talk to the cashier for her. She is so scared that I can't even get her to drive. She doesn't want to get her license because she's scared of trying to drive.
 
 
 
 Some people have recommended medication, but I believe it's just going to cover up her illness and not solve it. I don't want my fianc√©e pumped with drugs. I believe a psychiatric service dog would be the best bet for her. When we first met my poodle, it would calm her down a lot. She took the dog out every time we went out, and she seemed much calmer and happier. She slowly would eat, and the dog seemed to make her feel a lot better. I am worried and want to help her without medication.",pass3,,Illness,Cognitive Stress,8,2,31.1,68.9,312
137,"We live with my ex-partner‚I's sister and her husband. We have been there for five years now. They are Hispanic and talk to my daughter in their language. Sometimes they overstep their balance between aunt and uncle and reach into my role as a parent. They neglect to see this. I do, and it reflects in my child's behavior. She sees them as stable but is upset that her dad isn't here, and my intuition tells me she blames me to a degree because she doesn't know about his alcohol addictions.",pass3,,Relationships,Emotional Stress,7,10,22.76,77.24,91
138,I believe it is wrong for men to look at inappropriate content. The father of my child has agreed to respect my beliefs. His co-worker sent him an inappropriate video. He got mad because he does not think he should tell his friend to not send him things like that.,pass3,,Relationships,Perceptual Stress,9,10,63.29,36.71,50
139,"I’m trying to get into Freelance writing, but these libraries want physical original ID’s, so I’m doing everything by phone, which is now also hard to do… because of charger thieves. Ugh. Times like these generate negative attitudes towards the world, and myself. The fact that noone has the time and patience for me just makes me wonder if I’m a piece of shit. No.",pass3,,Perceptual Stress,Perceptual Stress,9,9,29.19,70.81,65
140,"I have no idea what happened. I go places and do things but still feel lonely. I honestly have no friends, and I am always the one texting people and bothering people. I feel invisible, like someone that no one wants to be around.",pass3,,Lack of social support,Lack of social support,11,11,45.21,54.79,44
141,"I really need to find someone to exercise with. I can‚I't do it alone. I just need someone to remind me or do it with me, but there is no one.",pass3,,Lack of social support,Lack of social support,11,11,0,100,31
142,I feel like I'm trying to convince myself that I'm okay when I'm not. I'm always blocking out the bad things and forgetting. I also feel like nobody cares for me and they never will. I feel truly alone.,pass3,,Cognitive Stress,Lack of social support,11,8,64.06,35.94,39
143,"I have an eating disorder of binging. I've had gastric sleeve surgery. I need help with issues of abuse as a child, addiction, and abusive men. I have been in therapy for five months and get no feedback from my therapist.",pass3,,Dietary Stress,Dietary Stress,5,5,16.82,83.18,41
144,"I have no energy. The thought of working out now is out of the question. I used to bike and play tennis but that seems a lifetime ago. I would love to feel alive again, but I am just so tired all the time.",pass3,,Illness,Illness,2,2,64.95,35.05,44
145,"I‚I'd always had a lot of energy, but now with this heart failure thing I can‚I't do anything. I tried to go Christmas shopping, but by the time I‚I'd gone about a block, I was so tired that my husband took me home and I went back to bed.",pass3,,Illness,Illness,2,2,10.9,89.1,49
146,"When I was a kid, I suffered a kind of unlikely injury that basically ruined me mentally, and it seems like I just CAN NOT get away from it, because it's such cheap gory shock value that everyone uses it when they need cheap gory shock value. And if I'm not mentally prepared to see it I have a panic attack or just start crying. A fucking jokey homebrew cursed item on r/DND did that to me today, and I hate that my trauma is so bad that I have to stay guarded even when I'm just reading a funny thread about my favorite hobby. I'm still thinking about that fucking item. I'm so tired.",pass3,,Trauma,Trauma,0,0,28.24,71.76,115
147,"I suddenly became very weak, dizzy, and tired..spending days in bed. Never had a real fever..docs put it down to a post viral fatigue from something I had caught..I would get better for a few days then I would ""crash"" again. It wasn't until I had had countless tests done that came back clean..and went to the ER one last time in desperation to figure out what was wrong that the doc sent me to the pysch as he suspected depression and anxiety (I had lost 10lbs by then..and didn't weigh much to begin with). I was diagnosed with moderate-severe clinical depression and anxiety..the pysch ruled out CFS and lyme etc since my symptoms would come and go and kept changing by the day. Was prescribed ssri meds..but this gave me the worst panic attack I have experienced in my life..aaand another ambulance ride..",pass3,,Illness,Illness,2,2,7.23,92.77,144
148,(I suffer from Major Depression/Anxiety/Fibromyalgia and I wrote this as an example of what I feel on an average day so that people who don't have mental illness can understand) Hollowed out doesn't quite cover the feeling. Because inside this shell are millions of raw nerve endings feeling everything that brushes by. Everything is so raw. Between the mental and physical pain it's incredibly hard to stay grounded.,pass3,,Illness,Cognitive Stress,8,2,40.62,59.38,68
149,"My youngest who was 6 at the time had what seemed to be a bladder infection or UTI (urinary tract infection). She was literally peeing every five minutes. Since the doctors office was closed, I took her to the emergency room. Little did I know, my entire world was about to come crashing down. The nurses got us back to a room and once they were done checking her out and had her urine to test, we had to wait for the doctor.",pass3,,Illness,Trauma,0,2,0,100,83
150,"I have struggled all my life with weight. For the past month I have been dieting like a madman, counting calories, working out, etc. I have lose weight before in mass amounts so I do know how to diet and weigh food. But the scale will not budge, inches will not budge, nothing. So I decided that I am going to talk to my doctor about tapering off lexapro next week when I go in to see her.",pass3,,Dietary Stress,Dietary Stress,5,5,32.88,67.12,78
151,"I really want to lose weight, so this week I decided to be really good and tried to cut out all sweets from my diet. However, I felt miserable by the end of the day and finally broke down and ate a whole box of chocolates.",pass3,,Dietary Stress,Dietary Stress,5,5,41.93,58.07,46
152,"Diets don‚I't work for me. I‚I've tried them all. I lose 10 then gain back 11. Initially I feel great, then I end up feeling deprived and in the back of my mind I know I need to change how I eat and even my relationship with food. I have to stop eating fast food and all that dashboard dining. I actually like cooking but I just don‚I't make the effort to do it. It used to be fun, now it seems like chore who has 2 hours to cook such a fancy meal.",pass3,,Dietary Stress,Dietary Stress,5,5,73.76,26.24,94
153,I've tried the Atkins diet and I lost a lot of weight. Then gained it all back. Then I tried the Zone diet but felt really hungry all the time. I just don't know what to do. I‚I'm at my wit‚I's end.,pass3,,Dietary Stress,Dietary Stress,5,5,52.27,47.73,42
154,"However my job is physically laborious as I start at 2 a.m. and don't wrap up until 1 p.m. I'm currently relying on co-workers get to and from since my car is out of order, so I don't have time to run to the supermarket to ask any of them to help me buy groceries to pay them back later. I've run out of the pantry food, and ended of my work day early today due to feeling sick. I'm assuming it's a stomach virus, as I was home by 10:30 a.m. today, slept for a few hours, and ended up hurling everything in my stomach by 2:30 p.m. Please, I need a hot meal, even if it's from the local Chinese place.",pass3,,Physical labor,Physical labor,1,1,58.06,41.94,123
155,"Hourly employees start arriving at 4am and then myself and the other managers will delegate the days plan to the employees. We are typically very understaffed to be able to work in new items, recover the floor and excute the GM’s planned item moves for the day, so after we delegate the managers become stockers and work alongside the hourly employees to get done. I don’t mind physical labor and hard work, it’s actually my favorite part of my job, but it’s hard to run an operation as large as restocking and remerchandising a 200,000 sq ft facility while you are stuck stocking. The store opens at 9:30 am at which point I will try to start my administrative tasks, but just like in the morning the building is usually understaffed so it’s more common than not for me to be either cashiering for several hours, or helping out in the deli and/or bakery. Some days I’m lucky enough to get a lot of time in the office to complete my daily tasks, but most days I do not.",pass3,,Physical labor,Physical labor,1,1,68.82,31.18,179
156,"Not entirely sure if this really belongs here, but here it goes:  I (26yo F) have been diagnosed with ptsd due to many traumatic instances in my childhood including emotional/psychological abuse, physical abuse, sexual abuse, bullying etc. I have the best s/o anyone could ever ask for, he is extremely patient and understanding. His dad on the other hand, is a very complicated person. I'll call him P.  When I first met P, he seemed pretty shy, but very nice. He is generous, likes to offer gifts etc to people around him.",pass3,,Trauma,Trauma,0,0,45.56,54.44,94
157,"When I was a kid, I suffered a kind of unlikely injury that basically ruined me mentally, and it seems like I just CAN NOT get away from it, because it's such cheap gory shock value that everyone uses it when they need cheap gory shock value. And if I'm not mentally prepared to see it I have a panic attack or just start crying. A fucking jokey homebrew cursed item on r/DND did that to me today, and I hate that my trauma is so bad that I have to stay guarded even when I'm just reading a funny thread about my favorite hobby. I'm still thinking about that fucking item. I'm so tired.",pass3,,Trauma,Trauma,0,0,28.24,71.76,115
158,"I need to unburden myself and seek some reassurance; I was involved in a major car accident which resulted in a complex fracture in my right leg. While I was confined to the bed, instead of wallowing in the misery, I focused on improving my drawing skills for my future career in design. It was challenging as the pain medication would often make me drowsy, but my persistence never dwindled. Now, I am not only a skilled artist but also much more resilient.",syntactic_data,Trauma,,,,,50.61,49.39,83
159,"I am looking for a place to share my feelings and gather some strength; I recently suffered severe burns on my hands due to a kitchen accident. I was bedridden and unable to use my hands for daily activities. I utilized this time to sharpen my listening skills by enrolling in various audiobook courses related to my work. Though the medication and pain were obstacles, my will to learn kept me on track. Today, I am thankful for the personal growth I experienced during recovery.",syntactic_data,Trauma,,,,,44.13,55.87,85
160,"I need to express my feelings and get some motivation; I underwent a major back surgery for my slipped disk. I was restricted from any physical activities for a year. Instead of being bogged down, I decided to use this time to learn about the stock market. Though the initial learning curve was steep and the pain from surgery often distracting, I persevered. My determination has paid off and now I am a successful trader.",syntactic_data,Trauma,,,,,52.49,47.51,75
161,"I am seeking to share my experience and gain some sympathy; I recently had a severe lung infection which required surgery. I was unable to continue my work as a singer due to the strain on my lungs. To fill my time, I decided to write my own songs and scripts. Despite the difficulty in breathing and the fatigue, I made sure to jot down all the ideas that came to my mind. Now, I am proud to say, I have a collection of my own compositions ready to be sung when my lungs permit.",syntactic_data,Trauma,,,,,75.52,24.48,95
162,"I need to offload and gain some support; I went through a strenuous eye surgery after a gardening accident. The recovery period was filled with darkness and isolation. However, I chose to use this time to improve my cognitive abilities by attempting mental math and memory exercises. Despite the difficulties and frustrations, I managed to stay committed. Today, not only has my mental agility improved, but my resilience has also been strengthened.",syntactic_data,Trauma,,,,,68.75,31.25,72
163,"It's been a challenging time for me recently. I experienced a serious car accident which resulted in a broken leg and several weeks in a wheelchair. My days have been filled with physical therapy sessions, doctor's appointments and a lot of rest. Despite this, I've been trying to keep up with my online classes to ensure I don't fall behind in my studies. This has been a huge strain on me both physically and mentally, and unfortunately, my grades have taken a hit.",syntactic_data,Trauma,,,,,36.97,63.03,83
164,"I've been on a difficult journey for the past few months. I suffered a traumatic head injury during a sports event and had to undergo surgery. My recovery process has been filled with countless hours of physiotherapy, speech therapy and cognitive exercises. This has impacted my ability to focus on my work, causing me to lose my job. I'm still hopeful though, as I know this is just a temporary setback in my career.",syntactic_data,Trauma,,,,,27.38,72.62,74
165,"Life has taken an unexpected turn for me. I recently took a nasty fall during a hiking trip which resulted in a severe back injury. I've been bedridden and unable to engage in normal activities. I've been trying to keep my mind sharp by doing puzzles and reading books, but the constant pain and discomfort have been hindering my progress. As a result, I've had to put my plans to apply for a master's degree on hold.",syntactic_data,Trauma,,,,,27.78,72.22,77
166,"I've been dealing with a stressful situation lately. I was the victim of a violent assault, which left me with a broken nose and a fractured arm. My recovery has been slow and painful, with multiple visits to the hospital and specialists. This trauma has affected my ability to perform my duties at work, and I've had to take extended leave. I'm now at risk of losing my job, which adds to my stress.",syntactic_data,Trauma,,,,,6.56,93.44,74
167,"My days have been filled with pain and frustration. I suffered a serious burn injury during a recent camping trip and had to undergo a series of surgeries. My rehabilitation process involves daily dressing changes and physical therapy sessions. I've been trying to maintain my studies during this time, but it's been very challenging. My grades have been affected and I'm worried I might not be able to graduate on time.",syntactic_data,Trauma,,,,,14.09,85.91,71
168,"As a paramedic, my shift officially starts at 6 am, but I'm usually at the station by 5:30 am, checking and restocking the ambulance. The physical trauma of constantly lifting and moving patients is apparent in my every muscle, but it's a part of the job. Once the base is operational, we may get dispatched to anything from a minor injury to a major accident. It's not uncommon for me to be performing CPR or extracting someone from a car wreck. Despite the physical toll, there's rarely time for breaks as we're often rushing back to the station to prepare for the next call.",syntactic_data,Physical Labor,,,,,0,100,104
169,"Being a construction worker, my day starts at dawn. The trauma of carrying heavy materials and operating machinery is no joke, but it's what the job demands. Often, we spend hours erecting scaffolds, laying bricks, or pouring concrete, pushing our bodies to their limits. Breaks are few and far between, as deadlines loom and the pace of the project needs to be maintained. Despite the physical exhaustion, our day doesn't end until the site is safe and secure.",syntactic_data,Physical Labor,,,,,65.82,34.18,78
170,"As a professional mover, the physical trauma my body experiences daily is intense. My mornings usually start at 7 am, loading up trucks with everything from delicate glassware to heavy furniture. The weight and awkwardness of the items are a constant strain on my body. My afternoon consists of unloading and carefully placing the items in their new homes, often requiring carrying them up flights of stairs. Despite the physical demands, my day is not over until the last box is off the truck and the customer is satisfied.",syntactic_data,Physical Labor,,,,,54.41,45.59,89
171,"Working as a firefighter means dealing with the physical trauma of battling blazes and rescuing people. My shift starts at 8 am with equipment checks and drills, often lifting heavy hoses and ladders. Once a call comes in, I could be wrestling with a roaring fire or prying someone out of a wrecked car. The physical demands are extreme and breaks are a luxury that emergencies rarely allow. So, after a long day, rest is a precious commodity, but the alarm could sound at any moment.",syntactic_data,Physical Labor,,,,,19.44,80.56,86
172,"As a farmer, my day begins before sunrise. The physical trauma of manual labor - tilling, planting, or harvesting - is a daily reality. Dealing with heavy machinery or stubborn livestock adds to the strain. Lunch breaks are often on the go, a sandwich in one hand and a tool in the other. By sunset, as I make one last check on the animals or the fields, my body screams for rest. But there's solace in knowing that after a good night's sleep, I'll be back at it, tending to the land.",syntactic_data,Physical Labor,,,,,48.18,51.82,92
173,"As a construction worker, my day starts at 7am, when we gather at the site for the safety meeting before setting off to the day's tasks. The work demands a lot of physical labor, lifting, digging, climbing ladders, and maneuvering heavy machinery. Despite the physical exertion, the satisfaction of seeing a building taking shape is exhilarating. Yet, the challenges are numerous - the physical toll, the long hours under the sun or in the cold, and the constant need to stay alert to avoid accidents. Most days, it's after sunset when I finally get home, my body aching but my spirit undeterred, ready to do it all over again the next morning.",syntactic_data,Physical Labor,,,,,71.95,28.05,112
174,"Training to be a firefighter involves intense physical labor. Our day begins with rigorous workouts that test our endurance and resilience. The physical demands don't stop there, as we're also required to carry heavy equipment, climb stairs in full gear, and practice life-saving techniques. The physical exhaustion can be overwhelming at times, but the thought of being able to save lives and protect our community keeps us going.",syntactic_data,Physical Labor,,,,,75.82,24.18,68
